macModule,rssi,Position
C45BBE384CD2_89m,-63,
C45BBE386362_80m,-80,
C45BBE39F56A_56m,-65,
C45BBE386952_65m,-74,
C45BBE37B346_52m,-79,
C45BBE386362_80m,-77,
C45BBE39F56A_56m,-63,
C45BBE386952_65m,-77,
C45BBE384CD2_89m,-71,
C45BBE37B346_52m,-79,
C45BBE39F56A_56m,-76,85.0
C45BBE386952_65m,-75,85.0
C45BBE384CD2_89m,-73,85.0
C45BBE386362_80m,-79,85.0
C45BBE386362_80m,-77,85.0
C45BBE384CD2_89m,-73,85.0
C45BBE39F56A_56m,-68,85.0
C45BBE386952_65m,-78,85.0
C45BBE384CD2_89m,-67,85.0
C45BBE386362_80m,-78,85.0
C45BBE39F56A_56m,-80,85.0
C45BBE386362_80m,-78,85.0
C45BBE384CD2_89m,-68,85.0
C45BBE37B346_52m,-80,85.0
C45BBE386952_65m,-68,85.0
C45BBE39F56A_56m,-66,85.0
C45BBE384CD2_89m,-68,85.0
C45BBE37B346_52m,-76,85.0
C45BBE386952_65m,-68,85.0
C45BBE39F56A_56m,-69,85.0
C45BBE386362_80m,-78,85.0
C45BBE386952_65m,-77,85.0
C45BBE39F56A_56m,-80,85.0
C45BBE386362_80m,-78,85.0
C45BBE384CD2_89m,-63,85.0
C45BBE386952_65m,-71,85.0
C45BBE39F56A_56m,-65,85.0
C45BBE37B346_52m,-80,
C45BBE386362_80m,-72,
C45BBE384CD2_89m,-77,
C45BBE386362_80m,-70,
C45BBE39F56A_56m,-70,
C45BBE384CD2_89m,-69,
C45BBE386952_65m,-72,
C45BBE39F56A_56m,-76,
C45BBE386952_65m,-74,
C45BBE37B346_52m,-79,
C45BBE386362_80m,-63,
C45BBE384CD2_89m,-64,
C45BBE39F56A_56m,-78,
C45BBE384CD2_89m,-77,
C45BBE386362_80m,-71,
C45BBE384CD2_89m,-69,
C45BBE386362_80m,-72,
C45BBE39F56A_56m,-79,
C45BBE386952_65m,-80,
C45BBE386362_80m,-79,
C45BBE39F56A_56m,-80,
C45BBE384CD2_89m,-65,
C45BBE386952_65m,-74,
C45BBE386362_80m,-80,
C45BBE384CD2_89m,-71,
C45BBE39F56A_56m,-69,
C45BBE386952_65m,-80,
C45BBE39F56A_56m,-74,
C45BBE384CD2_89m,-72,
C45BBE386362_80m,-75,
C45BBE384CD2_89m,-70,
C45BBE39F56A_56m,-76,
C45BBE386362_80m,-73,
C45BBE384CD2_89m,-66,
C45BBE39F56A_56m,-80,
C45BBE386362_80m,-74,
C45BBE386952_65m,-79,
C45BBE386362_80m,-67,
C45BBE39F56A_56m,-77,
C45BBE384CD2_89m,-68,
C45BBE386952_65m,-78,
C45BBE39F56A_56m,-67,
C45BBE384CD2_89m,-73,
C45BBE386362_80m,-68,
C45BBE384CD2_89m,-65,
C45BBE386952_65m,-77,
C45BBE39F56A_56m,-73,
C45BBE386362_80m,-66,
C45BBE386952_65m,-74,
C45BBE39F56A_56m,-72,
C45BBE384CD2_89m,-66,
