timestamp,macModule,rssi
2022-10-07 11:31:29.802,C45BBE386952,-79
2022-10-07 11:31:20.742,C45BBE384CD2,-57
2022-10-07 11:31:09.186,C45BBE384CD2,-58
2022-10-07 11:30:59.508,C45BBE384CD2,-52
2022-10-07 11:30:50.350,C45BBE386952,-80
2022-10-07 11:30:49.856,C45BBE384CD2,-49
2022-10-07 11:30:41.438,C45BBE39F56A,-79
2022-10-07 11:30:40.265,C45BBE384CD2,-52
2022-10-07 11:30:32.959,C45BBE386952,-80
2022-10-07 11:30:30.770,C45BBE384CD2,-67
2022-10-07 11:30:29.767,C45BBE39F56A,-75
2022-10-07 11:30:29.144,C45BBE386952,-80
2022-10-07 11:30:13.830,C45BBE386952,-78
2022-10-07 11:30:08.026,C45BBE386952,-79
2022-10-07 11:29:58.493,C45BBE386952,-75
2022-10-07 11:29:50.832,C45BBE386952,-73
2022-10-07 11:29:37.427,C45BBE386952,-71
2022-10-07 11:29:29.800,C45BBE386952,-72
2022-10-07 11:29:18.625,C45BBE37B346,-80
