macModule,rssi,hourMinute
C45BBE37B346,-71,9h13
C45BBE39F56A,-77,9h13
C45BBE386952,-72,9h13
C45BBE37B346,-73,9h13
C45BBE39F56A,-67,9h13
C45BBE37B346,-78,9h13
C45BBE384CD2,-80,9h13
C45BBE386362,-80,9h13
C45BBE386952,-68,9h13
C45BBE384CD2,-80,9h13
C45BBE386952,-73,9h13
C45BBE39F56A,-78,9h13
C45BBE386952,-76,9h13
C45BBE39F56A,-80,9h13
C45BBE386952,-77,9h14
C45BBE39F56A,-71,9h14
C45BBE37B346,-79,9h14
C45BBE386952,-76,9h14
C45BBE384CD2,-77,9h14
C45BBE39F56A,-77,9h14
C45BBE384CD2,-77,9h14
C45BBE39F56A,-71,9h14
C45BBE386952,-71,9h14
C45BBE386362,-80,9h14
C45BBE39F56A,-77,9h14
C45BBE386952,-76,9h14
C45BBE386952,-73,9h14
C45BBE39F56A,-66,9h14
C45BBE384CD2,-73,9h14
C45BBE386362,-79,9h14
C45BBE386952,-73,9h14
C45BBE39F56A,-79,9h14
C45BBE386952,-79,9h15
C45BBE39F56A,-67,9h15
C45BBE384CD2,-72,9h15
C45BBE39F56A,-70,9h15
C45BBE386952,-68,9h15
C45BBE386952,-70,9h15
C45BBE39F56A,-76,9h15
C45BBE386952,-74,9h15
C45BBE39F56A,-74,9h15
C45BBE37B346,-74,9h15
C45BBE386952,-71,9h15
C45BBE386362,-77,9h15
C45BBE39F56A,-69,9h15
C45BBE37B346,-78,9h15
C45BBE386952,-69,9h15
C45BBE39F56A,-72,9h15
C45BBE39F56A,-56,9h15
C45BBE386952,-74,9h15
C45BBE384CD2,-79,9h16
C45BBE386362,-80,9h16
C45BBE37B346,-74,9h16
C45BBE386952,-71,9h16
C45BBE39F56A,-64,9h16
C45BBE384CD2,-69,9h16
C45BBE39F56A,-63,9h16
C45BBE37B346,-79,9h16
C45BBE386952,-70,9h16
C45BBE386952,-69,9h16
C45BBE39F56A,-73,9h16
C45BBE384CD2,-76,9h16
C45BBE37B346,-80,9h16
C45BBE386952,-79,9h16
C45BBE39F56A,-76,9h16
C45BBE384CD2,-75,9h16
C45BBE386952,-69,9h16
C45BBE39F56A,-80,9h16
C45BBE384CD2,-71,9h17
C45BBE386952,-70,9h17
C45BBE39F56A,-72,9h17
C45BBE384CD2,-79,9h17
C45BBE386952,-77,9h17
C45BBE39F56A,-73,9h17
C45BBE386952,-70,9h17
C45BBE39F56A,-70,9h17
C45BBE384CD2,-78,9h17
C45BBE384CD2,-76,9h17
C45BBE386952,-74,9h17
C45BBE39F56A,-70,9h17
C45BBE39F56A,-74,9h17
C45BBE384CD2,-76,9h17
C45BBE386952,-74,9h17
C45BBE386952,-80,9h17
C45BBE384CD2,-78,9h17
C45BBE39F56A,-77,9h17
C45BBE39F56A,-72,9h17
C45BBE384CD2,-78,9h18
C45BBE386952,-74,9h18
C45BBE386362,-80,9h18
C45BBE386952,-75,9h18
C45BBE384CD2,-77,9h18
C45BBE39F56A,-76,9h18
C45BBE384CD2,-78,9h18
C45BBE386952,-71,9h18
C45BBE39F56A,-74,9h18
C45BBE39F56A,-75,9h18
C45BBE386952,-73,9h18
C45BBE39F56A,-72,9h18
C45BBE384CD2,-74,9h18
C45BBE386952,-73,9h18
C45BBE384CD2,-75,9h18
C45BBE386952,-72,9h18
C45BBE39F56A,-71,9h18
C45BBE386952,-75,9h19
C45BBE39F56A,-67,9h19
C45BBE386362,-80,9h19
C45BBE384CD2,-80,9h19
C45BBE386952,-76,9h19
C45BBE39F56A,-65,9h19
C45BBE37B346,-80,9h19
C45BBE384CD2,-76,9h19
C45BBE386952,-76,9h19
C45BBE386362,-79,9h19
C45BBE39F56A,-75,9h19
C45BBE384CD2,-73,9h19
C45BBE386362,-79,9h19
C45BBE386952,-77,9h19
C45BBE39F56A,-68,9h19
C45BBE39F56A,-68,9h19
C45BBE386362,-79,9h19
C45BBE384CD2,-78,9h19
C45BBE386952,-70,9h19
C45BBE386952,-79,9h19
C45BBE37B346,-78,9h19
C45BBE39F56A,-77,9h19
C45BBE39F56A,-74,9h20
C45BBE386952,-80,9h20
C45BBE384CD2,-78,9h20
C45BBE39F56A,-75,9h20
C45BBE386952,-75,9h20
C45BBE384CD2,-78,9h20
C45BBE386362,-79,9h20
C45BBE384CD2,-77,9h20
C45BBE386362,-80,9h20
C45BBE386952,-78,9h20
C45BBE39F56A,-76,9h20
C45BBE386362,-80,9h20
C45BBE39F56A,-80,9h20
C45BBE386952,-80,9h20
C45BBE386362,-76,9h20
C45BBE386952,-72,9h20
C45BBE39F56A,-76,9h20
C45BBE39F56A,-77,9h20
C45BBE386362,-80,9h20
C45BBE386952,-75,9h20
C45BBE384CD2,-77,9h20
C45BBE39F56A,-80,9h20
C45BBE384CD2,-79,9h20
C45BBE386362,-72,9h21
C45BBE386952,-78,9h21
C45BBE384CD2,-72,9h21
C45BBE386362,-60,9h21
C45BBE384CD2,-80,9h21
C45BBE386362,-57,9h21
C45BBE386362,-61,9h21
C45BBE386362,-62,9h21
C45BBE386362,-57,9h21
C45BBE386362,-60,9h22
C45BBE386362,-60,9h22
C45BBE386362,-66,9h22
C45BBE386362,-66,9h22
C45BBE386362,-63,9h22
C45BBE386362,-63,9h22
C45BBE386362,-62,9h23
C45BBE386362,-64,9h23
C45BBE384CD2,-78,9h23
C45BBE384CD2,-78,9h23
C45BBE386362,-66,9h23
C45BBE386362,-65,9h23
C45BBE386362,-66,9h23
C45BBE386362,-66,9h23
C45BBE386362,-56,9h24
C45BBE384CD2,-79,9h24
C45BBE386362,-48,9h24
C45BBE384CD2,-73,9h24
C45BBE386362,-51,9h24
C45BBE384CD2,-80,9h24
C45BBE386362,-74,9h24
C45BBE384CD2,-73,9h24
C45BBE386362,-51,9h24
C45BBE384CD2,-77,9h24
C45BBE386362,-48,9h24
C45BBE384CD2,-80,9h24
C45BBE386362,-50,9h25
C45BBE386362,-58,9h25
C45BBE386362,-63,9h25
C45BBE386362,-59,9h25
C45BBE386362,-63,9h25
C45BBE386362,-65,9h25
C45BBE386362,-61,9h26
C45BBE386362,-61,9h26
C45BBE386362,-59,9h26
C45BBE386362,-61,9h26
C45BBE386362,-63,9h26
C45BBE386362,-64,9h26
C45BBE386362,-64,9h27
C45BBE384CD2,-76,9h27
C45BBE386362,-65,9h27
C45BBE386362,-70,9h27
C45BBE384CD2,-69,9h27
C45BBE39F56A,-77,9h27
C45BBE386362,-56,9h27
C45BBE384CD2,-79,9h27
C45BBE384CD2,-70,9h27
C45BBE39F56A,-78,9h27
C45BBE386362,-77,9h27
C45BBE39F56A,-80,9h27
C45BBE384CD2,-65,9h27
C45BBE386362,-75,9h27
C45BBE39F56A,-80,9h27
C45BBE384CD2,-66,9h28
C45BBE386952,-77,9h28
C45BBE39F56A,-64,9h28
C45BBE386362,-72,9h28
